故障ID,故障代码,故障现象,车型,行驶里程(km),故障发生时间
F001,P0301,1缸失火，发动机抖动,丰田卡罗拉,25092,2024-12-28 12:49
F002,C0045,右前轮速传感器故障,大众朗逸,102969,2024-06-28 11:23
F003,P0171,燃油系统过稀,本田思域,28656,2024-09-07 11:47
F004,B1234,空调压缩机不工作,比亚迪汉,49077,2025-11-22 16:34
F005,P0420,催化转化器效率低,宝马3系,82589,2024-05-13 08:41
F006,P0299,涡轮增压器压力不足,福特蒙迪欧,32976,2024-12-08 10:20
F007,C0121,刹车压力传感器信号异常,吉利星越L,76273,2025-01-09 11:51
F008,B0081,主驾驶安全带传感器故障,奥迪A4L,145233,2024-02-06 15:05
F009,P0521,机油压力传感器电路范围故障,长城哈弗H6,44409,2025-11-01 10:34
F010,C0561,ABS系统控制模块故障,奔驰C级,87221,2024-10-22 09:28
F011,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,27789,2024-11-24 10:39
F012,B0100,空气囊控制模块故障,大众帕萨特,121619,2025-05-22 10:24
F013,P0122,节气门位置传感器电压低,本田CR-V,54458,2024-06-03 15:06
F014,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,102556,2024-12-21 10:31
F015,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,143671,2024-06-27 15:46
F016,B0200,右前安全气囊传感器故障,奥迪Q5L,95345,2025-04-27 16:53
F017,P0606,ECM内部控制模块处理器故障,福特锐界,72395,2024-09-05 16:49
F018,C0051,右后轮速传感器电路故障,吉利博越,144907,2024-10-28 12:08
F019,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,56446,2025-02-16 15:04
F020,P0113,进气温度传感器电压高,奔驰E级,72865,2024-06-14 17:26
F021,P0301,1缸失火，发动机抖动,丰田卡罗拉,96127,2024-04-04 12:08
F022,C0045,右前轮速传感器故障,大众朗逸,30352,2025-12-12 08:39
F023,P0171,燃油系统过稀,本田思域,52868,2024-01-24 17:33
F024,B1234,空调压缩机不工作,比亚迪汉,98956,2025-05-08 14:29
F025,P0420,催化转化器效率低,宝马3系,139287,2024-04-05 14:24
F026,P0299,涡轮增压器压力不足,福特蒙迪欧,144287,2024-03-22 09:20
F027,C0121,刹车压力传感器信号异常,吉利星越L,53959,2024-06-13 08:00
F028,B0081,主驾驶安全带传感器故障,奥迪A4L,116624,2025-08-03 17:10
F029,P0521,机油压力传感器电路范围故障,长城哈弗H6,34226,2024-02-14 17:52
F030,C0561,ABS系统控制模块故障,奔驰C级,22597,2024-12-31 13:59
F031,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,91499,2024-05-07 17:55
F032,B0100,空气囊控制模块故障,大众帕萨特,81679,2025-05-02 14:05
F033,P0122,节气门位置传感器电压低,本田CR-V,39980,2025-06-25 11:37
F034,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,65959,2025-02-07 15:34
F035,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,99619,2025-06-14 10:24
F036,B0200,右前安全气囊传感器故障,奥迪Q5L,37387,2025-07-01 08:33
F037,P0606,ECM内部控制模块处理器故障,福特锐界,122887,2025-10-02 13:15
F038,C0051,右后轮速传感器电路故障,吉利博越,145972,2024-05-14 09:42
F039,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,51346,2025-12-01 12:56
F040,P0113,进气温度传感器电压高,奔驰E级,87083,2025-12-25 15:54
F041,P0301,1缸失火，发动机抖动,丰田卡罗拉,65069,2024-06-07 12:39
F042,C0045,右前轮速传感器故障,大众朗逸,122761,2025-08-31 09:08
F043,P0171,燃油系统过稀,本田思域,126847,2025-06-15 08:55
F044,B1234,空调压缩机不工作,比亚迪汉,83802,2025-04-27 09:38
F045,P0420,催化转化器效率低,宝马3系,73015,2025-05-24 08:21
F046,P0299,涡轮增压器压力不足,福特蒙迪欧,44594,2025-10-22 08:55
F047,C0121,刹车压力传感器信号异常,吉利星越L,68651,2024-03-01 08:54
F048,B0081,主驾驶安全带传感器故障,奥迪A4L,82239,2025-03-24 16:39
F049,P0521,机油压力传感器电路范围故障,长城哈弗H6,79381,2025-05-29 17:05
F050,C0561,ABS系统控制模块故障,奔驰C级,116844,2024-11-14 13:30
F051,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,95888,2025-11-26 08:11
F052,B0100,空气囊控制模块故障,大众帕萨特,92609,2025-10-24 13:23
F053,P0122,节气门位置传感器电压低,本田CR-V,37960,2025-01-02 10:12
F054,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,50123,2024-07-27 13:01
F055,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,34868,2025-05-05 12:52
F056,B0200,右前安全气囊传感器故障,奥迪Q5L,76264,2024-07-05 12:00
F057,P0606,ECM内部控制模块处理器故障,福特锐界,31413,2024-04-11 09:58
F058,C0051,右后轮速传感器电路故障,吉利博越,130256,2024-08-01 15:16
F059,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,123209,2024-11-27 16:05
F060,P0113,进气温度传感器电压高,奔驰E级,73627,2024-12-27 16:49
F061,P0301,1缸失火，发动机抖动,丰田卡罗拉,101434,2025-09-21 08:32
F062,C0045,右前轮速传感器故障,大众朗逸,92860,2025-04-25 16:20
F063,P0171,燃油系统过稀,本田思域,100834,2025-09-30 09:09
F064,B1234,空调压缩机不工作,比亚迪汉,144659,2024-05-30 10:47
F065,P0420,催化转化器效率低,宝马3系,116695,2025-01-23 15:34
F066,P0299,涡轮增压器压力不足,福特蒙迪欧,128179,2025-08-07 13:57
F067,C0121,刹车压力传感器信号异常,吉利星越L,61522,2025-06-12 15:48
F068,B0081,主驾驶安全带传感器故障,奥迪A4L,20124,2024-02-26 16:35
F069,P0521,机油压力传感器电路范围故障,长城哈弗H6,20489,2024-06-27 17:43
F070,C0561,ABS系统控制模块故障,奔驰C级,61421,2024-03-19 11:59
F071,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,108228,2025-01-11 17:30
F072,B0100,空气囊控制模块故障,大众帕萨特,37476,2024-04-05 08:37
F073,P0122,节气门位置传感器电压低,本田CR-V,50087,2025-03-03 09:36
F074,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,88541,2024-05-28 10:06
F075,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,65763,2025-05-04 10:05
F076,B0200,右前安全气囊传感器故障,奥迪Q5L,148967,2024-10-29 09:56
F077,P0606,ECM内部控制模块处理器故障,福特锐界,70306,2025-06-02 11:48
F078,C0051,右后轮速传感器电路故障,吉利博越,61308,2025-07-22 09:53
F079,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,40379,2024-06-01 13:43
F080,P0113,进气温度传感器电压高,奔驰E级,86964,2024-08-13 13:19
F081,P0301,1缸失火，发动机抖动,丰田卡罗拉,53046,2025-05-09 09:49
F082,C0045,右前轮速传感器故障,大众朗逸,146763,2024-10-07 14:03
F083,P0171,燃油系统过稀,本田思域,133308,2024-02-28 09:06
F084,B1234,空调压缩机不工作,比亚迪汉,100629,2024-06-21 08:27
F085,P0420,催化转化器效率低,宝马3系,149651,2025-07-27 08:25
F086,P0299,涡轮增压器压力不足,福特蒙迪欧,26903,2024-02-03 11:48
F087,C0121,刹车压力传感器信号异常,吉利星越L,27710,2025-05-09 13:10
F088,B0081,主驾驶安全带传感器故障,奥迪A4L,138152,2024-08-10 11:55
F089,P0521,机油压力传感器电路范围故障,长城哈弗H6,51954,2025-08-24 13:15
F090,C0561,ABS系统控制模块故障,奔驰C级,119449,2025-12-03 14:52
F091,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,122577,2025-05-15 10:15
F092,B0100,空气囊控制模块故障,大众帕萨特,50982,2025-02-06 11:47
F093,P0122,节气门位置传感器电压低,本田CR-V,123413,2024-07-24 13:48
F094,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,25485,2025-11-20 16:02
