保养ID,车型,行驶里程(km),保养项目,保养时间,上次保养里程(km)
S001,丰田卡罗拉,131728,机油+机滤更换,2025-08-07 09:07,126728
S002,大众朗逸,42725,空调滤芯+空气滤芯更换,2025-02-19 16:59,32725
S003,本田思域,34828,变速箱油更换,2025-09-10 08:33,24828
S004,比亚迪汉,84841,全车检查+轮胎换位,2025-09-28 09:05,74841
S005,宝马3系,137712,大保养(机油+三滤+刹车油),2024-10-05 08:18,127712
S006,福特蒙迪欧,54989,刹车油+刹车片更换,2024-06-25 12:22,44989
S007,吉利星越L,106510,机油+机滤+空调滤芯更换,2025-05-28 10:21,101510
S008,奥迪A4L,56854,变速箱油+火花塞更换,2025-06-29 17:47,46854
S009,长城哈弗H6,63657,空气滤芯+燃油滤芯更换,2024-08-27 15:04,58657
S010,奔驰C级,142180,大保养(机油+三滤+变速箱油),2024-06-10 16:34,132180
S011,丰田凯美瑞,23979,刹车油+冷却液更换,2025-01-17 16:04,13979
S012,大众帕萨特,83372,机油+机滤+空气滤芯更换,2024-08-26 12:33,78372
S013,本田CR-V,123970,变速箱油+刹车油更换,2024-07-07 17:23,113970
S014,比亚迪宋PLUS,73339,全车检查+空调滤芯更换,2025-03-12 09:29,68339
S015,宝马5系,138207,大保养(机油+三滤+正时皮带),2025-05-03 15:22,128207
S016,奥迪Q5L,147984,机油+机滤+火花塞更换,2024-10-24 12:02,142984
S017,福特锐界,111432,刹车油+刹车片+轮胎更换,2024-12-13 12:45,101432
S018,吉利博越,52341,机油+机滤+燃油滤芯更换,2024-01-29 08:06,47341
S019,长城魏派VV7,60953,变速箱油+空调滤芯更换,2025-05-20 09:20,50953
S020,奔驰E级,102984,大保养(机油+三滤+刹车油),2025-05-17 12:05,92984
S021,丰田卡罗拉,99224,机油+机滤更换,2024-12-25 11:18,94224
S022,大众朗逸,85658,空调滤芯+空气滤芯更换,2024-12-22 17:27,75658
S023,本田思域,27479,变速箱油更换,2025-07-22 15:44,17479
S024,比亚迪汉,58588,全车检查+轮胎换位,2024-01-15 10:12,48588
S025,宝马3系,100198,大保养(机油+三滤+刹车油),2024-04-21 11:53,90198
S026,福特蒙迪欧,139922,刹车油+刹车片更换,2025-03-21 15:36,129922
S027,吉利星越L,32823,机油+机滤+空调滤芯更换,2024-09-26 14:04,27823
S028,奥迪A4L,56079,变速箱油+火花塞更换,2024-04-30 09:19,46079
S029,长城哈弗H6,119845,空气滤芯+燃油滤芯更换,2025-09-07 11:06,114845
S030,奔驰C级,111530,大保养(机油+三滤+变速箱油),2024-09-10 17:33,101530
S031,丰田凯美瑞,60579,刹车油+冷却液更换,2025-11-09 10:26,50579
S032,大众帕萨特,57214,机油+机滤+空气滤芯更换,2024-02-20 10:24,52214
S033,本田CR-V,45339,变速箱油+刹车油更换,2024-03-09 15:58,35339
S034,比亚迪宋PLUS,111764,全车检查+空调滤芯更换,2024-05-28 08:42,106764
S035,宝马5系,84776,大保养(机油+三滤+正时皮带),2024-08-06 11:02,74776
S036,奥迪Q5L,78532,机油+机滤+火花塞更换,2024-07-24 08:12,73532
S037,福特锐界,127554,刹车油+刹车片+轮胎更换,2024-12-24 15:19,117554
S038,吉利博越,50918,机油+机滤+燃油滤芯更换,2024-10-04 08:32,45918
S039,长城魏派VV7,56884,变速箱油+空调滤芯更换,2024-05-30 13:01,46884
S040,奔驰E级,119904,大保养(机油+三滤+刹车油),2024-10-17 16:38,109904
S041,丰田卡罗拉,147671,机油+机滤更换,2024-12-30 16:30,142671
S042,大众朗逸,71223,空调滤芯+空气滤芯更换,2024-10-21 08:59,61223
S043,本田思域,112824,变速箱油更换,2024-11-27 09:59,102824
S044,比亚迪汉,147187,全车检查+轮胎换位,2025-09-14 10:26,137187
S045,宝马3系,133204,大保养(机油+三滤+刹车油),2024-10-22 10:34,123204
S046,福特蒙迪欧,118001,刹车油+刹车片更换,2025-01-17 15:48,108001
S047,吉利星越L,56709,机油+机滤+空调滤芯更换,2025-06-29 12:56,51709
S048,奥迪A4L,127491,变速箱油+火花塞更换,2024-07-07 11:35,117491
S049,长城哈弗H6,87170,空气滤芯+燃油滤芯更换,2025-05-17 09:41,82170
S050,奔驰C级,46950,大保养(机油+三滤+变速箱油),2024-06-04 13:31,36950
S051,丰田凯美瑞,143312,刹车油+冷却液更换,2025-09-15 09:12,133312
S052,大众帕萨特,85160,机油+机滤+空气滤芯更换,2024-09-21 15:44,80160
S053,本田CR-V,61642,变速箱油+刹车油更换,2025-08-19 08:59,51642
S054,比亚迪宋PLUS,108427,全车检查+空调滤芯更换,2025-09-07 16:42,103427
S055,宝马5系,89843,大保养(机油+三滤+正时皮带),2024-07-01 15:59,79843
S056,奥迪Q5L,47136,机油+机滤+火花塞更换,2024-02-16 08:46,42136
S057,福特锐界,49898,刹车油+刹车片+轮胎更换,2025-11-22 10:24,39898
S058,吉利博越,141598,机油+机滤+燃油滤芯更换,2024-12-31 10:05,136598
S059,长城魏派VV7,41408,变速箱油+空调滤芯更换,2025-12-08 16:35,31408
S060,奔驰E级,96326,大保养(机油+三滤+刹车油),2025-04-20 09:05,86326
S061,丰田卡罗拉,47968,机油+机滤更换,2025-01-25 15:40,42968
S062,大众朗逸,84775,空调滤芯+空气滤芯更换,2024-01-20 11:59,74775
S063,本田思域,93161,变速箱油更换,2024-02-10 17:36,83161
S064,比亚迪汉,118211,全车检查+轮胎换位,2024-05-19 17:29,108211
S065,宝马3系,40378,大保养(机油+三滤+刹车油),2025-01-11 14:12,30378
S066,福特蒙迪欧,100080,刹车油+刹车片更换,2025-01-17 15:46,90080
S067,吉利星越L,74116,机油+机滤+空调滤芯更换,2024-03-25 13:26,69116
S068,奥迪A4L,29297,变速箱油+火花塞更换,2024-04-19 13:14,19297
S069,长城哈弗H6,99435,空气滤芯+燃油滤芯更换,2025-05-02 08:42,94435
S070,奔驰C级,96901,大保养(机油+三滤+变速箱油),2025-10-03 11:01,86901
S071,丰田凯美瑞,29993,刹车油+冷却液更换,2025-02-19 14:16,19993
S072,大众帕萨特,119867,机油+机滤+空气滤芯更换,2025-01-11 16:52,114867
S073,本田CR-V,20725,变速箱油+刹车油更换,2025-01-28 15:28,10725
S074,比亚迪宋PLUS,124395,全车检查+空调滤芯更换,2024-12-23 08:02,119395
S075,宝马5系,137660,大保养(机油+三滤+正时皮带),2024-07-15 17:59,127660
S076,奥迪Q5L,127005,机油+机滤+火花塞更换,2025-09-29 13:02,122005
S077,福特锐界,108493,刹车油+刹车片+轮胎更换,2024-10-02 13:55,98493
S078,吉利博越,139055,机油+机滤+燃油滤芯更换,2024-04-14 10:30,134055
S079,长城魏派VV7,67216,变速箱油+空调滤芯更换,2024-11-28 13:01,57216
S080,奔驰E级,83118,大保养(机油+三滤+刹车油),2024-08-30 14:12,73118
S081,丰田卡罗拉,135336,机油+机滤更换,2025-03-08 14:24,130336
S082,大众朗逸,86938,空调滤芯+空气滤芯更换,2025-02-23 11:11,76938
S083,本田思域,136051,变速箱油更换,2025-08-06 14:13,126051
S084,比亚迪汉,129699,全车检查+轮胎换位,2024-05-22 17:10,119699
S085,宝马3系,34895,大保养(机油+三滤+刹车油),2024-01-04 08:59,24895
S086,福特蒙迪欧,23594,刹车油+刹车片更换,2024-11-02 08:15,13594
S087,吉利星越L,39519,机油+机滤+空调滤芯更换,2024-04-13 14:35,34519
S088,奥迪A4L,72806,变速箱油+火花塞更换,2024-03-27 17:33,62806
S089,长城哈弗H6,132716,空气滤芯+燃油滤芯更换,2025-08-17 15:10,127716
S090,奔驰C级,106691,大保养(机油+三滤+变速箱油),2025-05-09 17:47,96691
S091,丰田凯美瑞,133605,刹车油+冷却液更换,2025-12-27 12:04,123605
S092,大众帕萨特,95289,机油+机滤+空气滤芯更换,2025-12-23 08:21,90289
S093,本田CR-V,62912,变速箱油+刹车油更换,2024-12-23 16:26,52912
S094,比亚迪宋PLUS,97066,全车检查+空调滤芯更换,2025-09-19 08:13,92066
S095,宝马5系,103134,大保养(机油+三滤+正时皮带),2025-03-02 16:52,93134
S096,奥迪Q5L,69399,机油+机滤+火花塞更换,2024-03-20 16:52,64399
S097,福特锐界,133064,刹车油+刹车片+轮胎更换,2024-06-23 09:38,123064
S098,吉利博越,33165,机油+机滤+燃油滤芯更换,2025-12-03 10:46,28165
S099,长城魏派VV7,118565,变速箱油+空调滤芯更换,2025-06-11 11:13,108565
S100,奔驰E级,23265,大保养(机油+三滤+刹车油),2024-07-26 08:38,13265
S101,丰田卡罗拉,38544,机油+机滤更换,2025-10-08 15:21,33544
S102,大众朗逸,108829,空调滤芯+空气滤芯更换,2025-08-30 14:09,98829
S103,本田思域,75591,变速箱油更换,2024-09-06 14:31,65591
S104,比亚迪汉,71703,全车检查+轮胎换位,2024-02-08 16:00,61703
S105,宝马3系,25492,大保养(机油+三滤+刹车油),2024-07-16 11:12,15492
S106,福特蒙迪欧,99990,刹车油+刹车片更换,2025-11-27 12:58,89990
S107,吉利星越L,121813,机油+机滤+空调滤芯更换,2024-05-23 13:54,116813
S108,奥迪A4L,98008,变速箱油+火花塞更换,2025-02-08 17:44,88008
S109,长城哈弗H6,67468,空气滤芯+燃油滤芯更换,2025-05-10 08:04,62468
S110,奔驰C级,46315,大保养(机油+三滤+变速箱油),2024-08-05 11:03,36315
S111,丰田凯美瑞,131232,刹车油+冷却液更换,2024-05-15 14:50,121232
S112,大众帕萨特,129962,机油+机滤+空气滤芯更换,2025-02-01 10:03,124962
S113,本田CR-V,105089,变速箱油+刹车油更换,2025-05-14 10:02,95089
S114,比亚迪宋PLUS,94100,全车检查+空调滤芯更换,2025-06-12 10:35,89100
S115,宝马5系,47666,大保养(机油+三滤+正时皮带),2024-01-01 13:24,37666
S116,奥迪Q5L,119383,机油+机滤+火花塞更换,2025-11-30 09:33,114383
S117,福特锐界,63582,刹车油+刹车片+轮胎更换,2024-09-04 09:44,53582
S118,吉利博越,29265,机油+机滤+燃油滤芯更换,2025-08-25 10:43,24265
S119,长城魏派VV7,109437,变速箱油+空调滤芯更换,2024-05-08 11:24,99437
S120,奔驰E级,49164,大保养(机油+三滤+刹车油),2024-05-03 12:08,39164
S121,丰田卡罗拉,108409,机油+机滤更换,2025-10-29 14:53,103409
S122,大众朗逸,127929,空调滤芯+空气滤芯更换,2025-12-16 11:02,117929
S123,本田思域,67968,变速箱油更换,2025-11-17 08:19,57968
S124,比亚迪汉,147905,全车检查+轮胎换位,2025-10-23 10:40,137905
S125,宝马3系,101215,大保养(机油+三滤+刹车油),2025-01-17 12:27,91215
S126,福特蒙迪欧,58046,刹车油+刹车片更换,2025-06-14 09:58,48046
S127,吉利星越L,118027,机油+机滤+空调滤芯更换,2024-12-13 14:27,113027
S128,奥迪A4L,43917,变速箱油+火花塞更换,2024-11-22 12:47,33917
S129,长城哈弗H6,146375,空气滤芯+燃油滤芯更换,2024-05-18 10:02,141375
S130,奔驰C级,93308,大保养(机油+三滤+变速箱油),2025-08-23 13:48,83308
S131,丰田凯美瑞,35070,刹车油+冷却液更换,2025-06-22 11:21,25070
S132,大众帕萨特,84050,机油+机滤+空气滤芯更换,2024-12-24 09:47,79050
S133,本田CR-V,30590,变速箱油+刹车油更换,2025-06-24 16:31,20590
S134,比亚迪宋PLUS,87639,全车检查+空调滤芯更换,2025-09-07 14:15,82639
S135,宝马5系,46395,大保养(机油+三滤+正时皮带),2024-10-25 11:38,36395
S136,奥迪Q5L,148396,机油+机滤+火花塞更换,2025-08-20 15:28,143396
S137,福特锐界,138635,刹车油+刹车片+轮胎更换,2024-02-29 15:17,128635
S138,吉利博越,87489,机油+机滤+燃油滤芯更换,2024-12-19 08:35,82489
S139,长城魏派VV7,90340,变速箱油+空调滤芯更换,2025-12-25 08:01,80340
S140,奔驰E级,76944,大保养(机油+三滤+刹车油),2024-05-21 10:40,66944
S141,丰田卡罗拉,90513,机油+机滤更换,2024-01-26 09:34,85513
S142,大众朗逸,47277,空调滤芯+空气滤芯更换,2024-09-04 15:41,37277
S143,本田思域,21827,变速箱油更换,2024-08-01 14:01,11827
S144,比亚迪汉,112944,全车检查+轮胎换位,2024-04-07 15:01,102944
S145,宝马3系,116183,大保养(机油+三滤+刹车油),2025-05-25 12:41,106183
S146,福特蒙迪欧,96417,刹车油+刹车片更换,2024-10-17 13:22,86417
S147,吉利星越L,122886,机油+机滤+空调滤芯更换,2025-07-25 09:42,117886
S148,奥迪A4L,110259,变速箱油+火花塞更换,2025-06-17 11:47,100259
S149,长城哈弗H6,138931,空气滤芯+燃油滤芯更换,2024-12-14 17:33,133931
S150,奔驰C级,117439,大保养(机油+三滤+变速箱油),2024-11-16 13:32,107439
S151,丰田凯美瑞,30774,刹车油+冷却液更换,2025-10-01 15:57,20774
S152,大众帕萨特,103933,机油+机滤+空气滤芯更换,2025-08-11 10:20,98933
S153,本田CR-V,124593,变速箱油+刹车油更换,2025-12-08 12:02,114593
S154,比亚迪宋PLUS,31840,全车检查+空调滤芯更换,2025-11-08 17:47,26840
