维修ID,故障ID,维修项目,更换配件,维修费用(元),维修时间
M001,F001,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-12-28 13:49
M002,F002,更换轮速传感器,右前轮速传感器,260,2024-06-28 12:23
M003,F003,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-09-07 12:47
M004,F004,维修空调压缩机,压缩机电磁阀,580,2025-11-22 18:34
M005,F005,更换催化转化器,原厂催化转化器,2800,2024-05-13 10:41
M006,F006,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-12-08 12:20
M007,F007,更换刹车压力传感器,刹车压力传感器,480,2025-01-09 12:51
M008,F008,更换安全带传感器,主驾驶安全带传感器,320,2024-02-06 16:05
M009,F009,更换机油压力传感器,机油压力传感器,450,2025-11-01 12:34
M010,F010,维修ABS控制模块,ABS控制模块维修包,1200,2024-10-22 11:28
M011,F011,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-11-24 12:39
M012,F012,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-05-22 11:24
M013,F013,更换节气门位置传感器,节气门位置传感器,480,2024-06-03 16:06
M014,F014,更换左前轮速传感器,左前轮速传感器,280,2024-12-21 12:31
M015,F015,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-06-27 17:46
M016,F016,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-04-27 18:53
M017,F017,升级ECM控制模块程序,ECM程序升级包,980,2024-09-05 18:49
M018,F018,更换右后轮速传感器,右后轮速传感器,270,2024-10-28 14:08
M019,F019,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-02-16 17:04
M020,F020,更换进气温度传感器,进气温度传感器,380,2024-06-14 18:26
M021,F021,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-04-04 14:08
M022,F022,更换轮速传感器,右前轮速传感器,260,2025-12-12 10:39
M023,F023,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-01-24 19:33
M024,F024,维修空调压缩机,压缩机电磁阀,580,2025-05-08 15:29
M025,F025,更换催化转化器,原厂催化转化器,2800,2024-04-05 16:24
M026,F026,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-03-22 10:20
M027,F027,更换刹车压力传感器,刹车压力传感器,480,2024-06-13 09:00
M028,F028,更换安全带传感器,主驾驶安全带传感器,320,2025-08-03 19:10
M029,F029,更换机油压力传感器,机油压力传感器,450,2024-02-14 19:52
M030,F030,维修ABS控制模块,ABS控制模块维修包,1200,2024-12-31 14:59
M031,F031,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-05-07 18:55
M032,F032,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-05-02 16:05
M033,F033,更换节气门位置传感器,节气门位置传感器,480,2025-06-25 12:37
M034,F034,更换左前轮速传感器,左前轮速传感器,280,2025-02-07 17:34
M035,F035,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-06-14 12:24
M036,F036,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-07-01 10:33
M037,F037,升级ECM控制模块程序,ECM程序升级包,980,2025-10-02 15:15
M038,F038,更换右后轮速传感器,右后轮速传感器,270,2024-05-14 11:42
